workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP
500.perlbench_r,8161831361,25741624,19244473297,1661700474,34112016,11,240354,98.45,3.64,439.3,2.03,1.39
500.perlbench_r,16524592463,51543983,39867315327,3238937052,74501671,19,395540,108.91,3.65,400.45,2.05,1.36
500.perlbench_r,24845507433,78831602,60442673577,4837212858,114823505,34,552608,112.42,3.65,389.37,2.06,1.35
500.perlbench_r,33099307131,104275450,81237734926,6379915775,155716591,42,705694,114.11,3.65,383.99,2.07,1.35
500.perlbench_r,41358873306,130200148,101910825510,7948209890,195524777,50,868384,115.31,3.65,399.8,2.07,1.36
500.perlbench_r,49785714579,155487325,122667271017,9500173918,235577192,60,1026115,116.12,3.65,416.81,2.07,1.36
500.perlbench_r,58186611960,181880157,143526776420,11044231881,276796040,73,1189035,116.57,3.65,428.41,2.07,1.36
500.perlbench_r,66641355213,208622109,164142680092,12630609424,317560760,83,1359586,117.3,3.66,438.62,2.07,1.36
500.perlbench_r,75072557451,235344404,184785670607,14200236331,358078584,94,1523201,117.41,3.65,444.22,2.07,1.36
500.perlbench_r,83379265897,266767965,204289102655,16003092893,397552516,106,1692168,117.58,3.65,449.87,2.07,1.36
500.perlbench_r,91855574833,293969100,224698203242,17634437506,437110816,118,1838573,117.72,3.65,454.63,2.07,1.36
500.perlbench_r,100362793206,321793032,245172673236,19248226776,477851028,130,2003378,118.16,3.66,458.88,2.07,1.35
500.perlbench_r,108846677056,350913880,265288862652,20961913702,518167030,140,2173177,118.29,3.66,462.12,2.08,1.35
500.perlbench_r,117355070478,370513570,287126893816,22423035302,561667407,153,2339285,118.42,3.66,465.46,2.08,1.35
500.perlbench_r,125836567309,387359300,309568000535,23778921128,603524128,162,2482038,118.51,3.66,467.83,2.08,1.35
500.perlbench_r,134400909212,407389180,331204979568,25269927654,646167381,173,2662076,118.73,3.66,472.17,2.08,1.35
500.perlbench_r,142973199018,425978316,353184014549,26705555870,690420117,184,2822890,118.7,3.66,473.92,2.08,1.35
500.perlbench_r,151712217313,440889418,376222635747,27965267857,731448604,196,2948927,118.88,3.66,475.83,2.08,1.35
500.perlbench_r,160299042741,461134537,397852793299,29466848022,775198845,211,3129908,119.37,3.66,480.25,2.08,1.35
500.perlbench_r,168879495942,480383997,419781561978,30914190200,818687917,219,3293576,119.33,3.66,480.84,2.08,1.34
